Cod. Bar,Product,Qty,F.Price,Date,Drog
733739001054,5- HTP (NEUROTRANSMISOR) 100 MG X 60 CAP (NOW),,140.25,05/06/2022,Vitalclinic
7898593050945,ACALENTUS (L-TRITOF+ASS) (ACIDO FOLICO+MAGNESIO+VITB6+VITB12 X 60 CAPSULAS MAXNUTRI,,36.209999999999994,05/06/2022,Vitalclinic
8906112610491,ACECLOFENACO (PRAFENAC) 100 MG X 10 TAB ADN MEDICAL (CAJA),,4.59,05/06/2022,Vitalclinic
7596049000123,ACEITE CREMOSO 200 GR DERNIER,,13.0152,05/06/2022,Vitalclinic
7594001450030,ACEITE DE ALMENDRAS 30CM RECETTE,,26.621999999999996,05/06/2022,Vitalclinic
7591616000032,ACEITE DE ALMENDRAS DULCES 30 ML BIOFARCO,,5.864999999999999,05/06/2022,Vitalclinic
7591616000056,ACEITE DE COCO 30 ML BIOFARCO,,6.375,05/06/2022,Vitalclinic
7594001455356,ACEITE DE COCO 70 ML SPRAY RECETTE MARK,,22.4808,05/06/2022,Vitalclinic
7592782001847,ACEITE DE LINAZA ( LEVINZOL ) OMEGA 3-6-9 X 30 CAPSULAS (VINCENTI),,24.479999999999997,05/06/2022,Vitalclinic
7591616000131,ACEITE DE RICINO 30 ML BIOFARCO,,8.924999999999999,05/06/2022,Vitalclinic
8906130231326,ACETAM + CLORFENIRA (BRIXFLU) 125MG + 1MG - 5ML JBE PED 120ML (BRIX),,24.224999999999998,05/06/2022,Vitalclinic
0,ACETAMINOFEN - CLORFENIRAMINA 500MG/2MG X10 TAB (BLISTER) BRIX MEDIC,,3.8249999999999997,05/06/2022,Vitalclinic
7591020000611,ACETAMINOFEN (ACEVAL)  650 MG X 10 TAB (VALMORCA) CAJA,,7.139999999999999,05/06/2022,Vitalclinic
7591519006674,ACETAMINOFEN (AMITAFEN) 650 MG X 14 TAB (CALOX),,11.475,05/06/2022,Vitalclinic
7593090000034,ACETAMINOFEN (APYRENE) 650 MG X 10 CAP (FC PHARMA),,9.944999999999999,05/06/2022,Vitalclinic
7591818716755,ACETAMINOFEN (BREXIN FORTE) 650MG X 10 TAB,,6.63,05/06/2022,Vitalclinic
7598127000988,ACETAMINOFEN + PLUS 800MG X 10 TAB (CAJA) BLUE MEDICAL,,4.08,05/06/2022,Vitalclinic
7592229000020,ACETAMINOFEN +CODEINA (ACUTEN) 500 MG -25 MG X 20 TAB FARMA,,29.07,05/06/2022,Vitalclinic
7598484000027,ACETAMINOFEN 120MG/5ML 120ML JBE QUIM-FA,,9.69,05/06/2022,Vitalclinic
7591821101692,ACETAMINOFEN 125 MG + CLORFERINIRAMINA 1MG TERAGRIP SABOR UVA JBE PED 120ML,,18.36,05/06/2022,Vitalclinic
7598578000384,ACETAMINOFEN 325 MG  + TRAMADOL  37.5 MG X 30 COMPRIMIDOS DAC 55,,15.554999999999998,05/06/2022,Vitalclinic
7592601000051,ACETAMINOFEN 325 MG +CLORFENIRAMINA 1.25MG (NOXPIRIN) SOL ORAL PEDIATRICO 120 ML (SIEGFRIED),,27.284999999999997,05/06/2022,Vitalclinic
7591243826708,ACETAMINOFEN 450MG DIHIDROERGOTAMNA 1MG CAFEINA 40MG (IVAGAN) X 10 TAB (CAJA) BIOTECH,,14.79,05/06/2022,Vitalclinic
7598252000198,ACETAMINOFEN 500 MG + CLORFENIRAMINA 4 MG (DLORACE) X20 TABLETAS (DISTRILAB),,9.18,05/06/2022,Vitalclinic
6921875008530,ACETAMINOFEN 500 MG X 10 TAB (KMPLUS) (CAJA),,2.04,05/06/2022,Vitalclinic
7592236001973,ACETAMINOFEN 500 MG X 20 TAB (CAJA) QUIM-FAR,,5.3549999999999995,05/06/2022,Vitalclinic
18906047594450,ACETAMINOFEN 500MG +TIOCOLCHICOSIIDO 4MG X 10 TAB (JMW),,25.244999999999997,05/06/2022,Vitalclinic
7703038050018,ACETAMINOFEN 500MG X 10 TAB (BLISTER) LAPROFF,,1.5299999999999998,05/06/2022,Vitalclinic
7591243826777,ACETAMINOFEN 650 - DIHIDROERGOTAMINA 1MG - CAFEINA40MG (IVAGAN FORTE) X 10 TAB (CAJA) BIOTECH,,17.085,05/06/2022,Vitalclinic
8906130231180,ACETAMINOFEN 650 MG - CAFEINA 50 MG - ERGOTAMINA 1 MG (DOLOBRIX) X 10 TAB (BLISTER) BRIXMEDIC,,3.315,05/06/2022,Vitalclinic
7592236001997,ACETAMINOFEN GOTAS  10% 15 ML QUIMFAR,,6.885,05/06/2022,Vitalclinic
7703038060970,ACETAMINOFEN GOTAS (SABOR CEREZA) 30 ML LAPROFF,,7.139999999999999,05/06/2022,Vitalclinic
7468191030047,ACETAMINOFEN GOTAS PED 100 MG / 1 ML - 15 ML (S.R.L),,7.139999999999999,05/06/2022,Vitalclinic
6921875011363,ACETAMINOFEN SUPOSITORIOS 100 MG X 6 UND ( KMPLUS) (CAJA),,4.845,05/06/2022,Vitalclinic
8906130231319,ACETAMINOFEN+CLORFENIRAMINA 500MG/4MG X 10 TAB BRIX MEDIC (BLISTER),,3.8249999999999997,05/06/2022,Vitalclinic
18906047594443,ACETAMINOFEN+IBUPROFENO+CAFEINA 325//200/40 MG X10 TABLETAS JMW (BLISTER),,7.139999999999999,05/06/2022,Vitalclinic
7591519008494,ACETAMINOFEN-TRAMADOL 325MG-37.5MG X 10 TAB CALOX,,17.34,05/06/2022,Vitalclinic
7898216361939,ACETATO DE DEXAMETASONA 1MG / 10 GR CREMA (PHARLAB),,8.16,05/06/2022,Vitalclinic
7598852000987,ACETONIDA DE TRIAMCINOLONA 10MG  / 5 ML (KENTUNI) INTRAARTICULAR/INTRAMUSCULAR UNIPHA,,57.11999999999999,05/06/2022,Vitalclinic
7707355050034,ACIBATH -S DERMOLIMPIADOR 120 G SEGFRIED,,52.35659999999999,05/06/2022,Vitalclinic
7598008000090,ACICLOVIR 200 MG TABL X 10 LAND (BLISTER),,5.61,05/06/2022,Vitalclinic
6921875010748,ACICLOVIR 200MG X 10 TAB (CAJA) KMPLUS,,5.864999999999999,05/06/2022,Vitalclinic
7707236126476,ACICLOVIR 250MG I.V (AMP) VITALIS,,14.279999999999998,05/06/2022,Vitalclinic
6942189304224,ACICLOVIR 400 MG X 10 TAB (CAJA) KMPLUS,,6.375,05/06/2022,Vitalclinic
,ACICLOVIR 400MG X 10 TAB BALAXI,,5.864999999999999,05/06/2022,Vitalclinic
8904307701047,ACICLOVIR 5% (WELLOVIR) CREMA 5GR WELLONA PHARMA,,7.139999999999999,05/06/2022,Vitalclinic
7597072000234,ACICLOVIR 50 MG (LABICIS) 20 GR USO TOPICO (BOOZ),,14.024999999999999,05/06/2022,Vitalclinic
8906006593572,ACICLOVIR 800 MG X 10 TAB (BLISTER) COLIN,,19.38,05/06/2022,Vitalclinic
18906047594665,ACICLOVIR 800 MG X 10 TABLETAS (JMW),,9.18,05/06/2022,Vitalclinic
7898216367399,ACICLOVIR CREMA TOP 50MG/G 10G PHARLAB,,8.16,05/06/2022,Vitalclinic
